year,pick,player_name,profile_url
2012,47,Kevin Murphy,https://www.basketball-reference.com/players/m/murphke01.html
2012,48,Kostas Papanikolaou,https://www.basketball-reference.com/players/p/papanko01.html
2012,49,Kyle O'Quinn,https://www.basketball-reference.com/players/o/oquinky01.html
2012,50,İzzet Türkyılmaz,https://www.basketball-reference.com/players/t/turkyiz01.html
2012,51,Kris Joseph,https://www.basketball-reference.com/players/j/josepkr01.html
2012,52,Ognjen Kuzmić,https://www.basketball-reference.com/players/k/kuzmiog01.html
2012,53,Furkan Aldemir,https://www.basketball-reference.com/players/a/aldemfu01.html
2012,54,Tornike Shengelia,https://www.basketball-reference.com/players/s/shengto01.html
2012,55,Darius Johnson-Odom,https://www.basketball-reference.com/players/j/johnsda03.html
2012,56,Tomislav Zubčić,https://www.basketball-reference.com/players/z/zubcito01.html
2012,57,İlkan Karaman,https://www.basketball-reference.com/players/k/karamil01.html
2012,58,Robbie Hummel,https://www.basketball-reference.com/players/h/hummero01.html
2012,59,Marcus Denmon,https://www.basketball-reference.com/players/d/denmoma01.html
2012,60,Robert Sacre,https://www.basketball-reference.com/players/s/sacrero01.html
2013,1,Anthony Bennett,https://www.basketball-reference.com/players/b/bennean01.html
2013,2,Victor Oladipo,https://www.basketball-reference.com/players/o/oladivi01.html
2013,3,Otto Porter Jr.,https://www.basketball-reference.com/players/p/porteot01.html
2013,4,Cody Zeller,https://www.basketball-reference.com/players/z/zelleco01.html
2013,5,Alex Len,https://www.basketball-reference.com/players/l/lenal01.html
2013,6,Nerlens Noel,https://www.basketball-reference.com/players/n/noelne01.html
2013,7,Ben McLemore,https://www.basketball-reference.com/players/m/mclembe01.html
2013,8,Kentavious Caldwell-Pope,https://www.basketball-reference.com/players/c/caldwke01.html
2013,9,Trey Burke,https://www.basketball-reference.com/players/b/burketr01.html
2013,10,CJ McCollum,https://www.basketball-reference.com/players/m/mccolcj01.html
2013,11,Michael Carter-Williams,https://www.basketball-reference.com/players/c/cartemi01.html
2013,12,Steven Adams,https://www.basketball-reference.com/players/a/adamsst01.html
2013,13,Kelly Olynyk,https://www.basketball-reference.com/players/o/olynyke01.html
2013,14,Shabazz Muhammad,https://www.basketball-reference.com/players/m/muhamsh01.html
