year,pick,player_name,profile_url,career_ast_pct,career_stl_pct,career_blk_pct,career_bpm,career_obpm,career_dbpm,career_vorp,career_ws,career_ws48,career_per,career_ts_pct,career_usg_pct
2009,59,Chinemelu Elonu,https://www.basketball-reference.com/players/e/elonuch01.html,,,,,,,,,,,,
2009,60,Robert Dozier,https://www.basketball-reference.com/players/d/doziero01.html,,,,,,,,,,,,
2010,1,John Wall,https://www.basketball-reference.com/players/w/walljo01.html,11.8,6.7,41.8,2.3,44.5,0.094,-0.1,20.1,24.4,604.0,22588.0,1.6
2010,2,Evan Turner,https://www.basketball-reference.com/players/t/turneev01.html,17.0,9.5,19.8,-2.1,20.2,0.051,0.2,-0.5,20.7,295.0,18938.0,0.8
2010,3,Derrick Favors,https://www.basketball-reference.com/players/f/favorde01.html,21.7,16.5,7.4,0.2,60.2,0.15,0.7,31.7,28.5,503.0,19202.0,4.0
2010,4,Wesley Johnson,https://www.basketball-reference.com/players/j/johnswe01.html,13.0,7.8,7.2,-1.9,10.7,0.038,0.3,0.3,10.4,334.0,13472.0,2.3
2010,5,DeMarcus Cousins,https://www.basketball-reference.com/players/c/couside01.html,28.4,19.0,17.9,1.6,46.8,0.115,0.8,18.0,28.7,561.0,19509.0,3.1
2010,6,Ekpe Udoh,https://www.basketball-reference.com/players/u/udohek01.html,12.8,10.8,6.5,-3.0,10.4,0.088,1.6,3.9,6.6,56.0,5694.0,5.9
2010,7,Greg Monroe,https://www.basketball-reference.com/players/m/monrogr01.html,,,,,,,,,,,,
2010,8,Al-Farouq Aminu,https://www.basketball-reference.com/players/a/aminual01.html,20.9,13.6,7.3,-1.2,27.6,0.075,0.7,6.8,20.7,445.0,17698.0,1.8
2010,9,Gordon Hayward,https://www.basketball-reference.com/players/h/haywago01.html,13.5,8.1,18.6,1.6,63.5,0.119,-0.1,41.0,22.5,649.0,25654.0,1.1
2010,10,Paul George,https://www.basketball-reference.com/players/g/georgpa01.html,17.7,10.3,18.4,2.6,90.7,0.14,1.1,42.3,48.3,880.0,31113.0,1.1
2010,11,Cole Aldrich,https://www.basketball-reference.com/players/a/aldrico01.html,27.0,19.0,8.6,-1.6,9.6,0.135,1.7,3.8,5.8,23.0,3389.0,5.6
2010,12,Xavier Henry,https://www.basketball-reference.com/players/h/henryxa01.html,10.7,6.9,6.5,-3.7,0.8,0.013,-0.7,-0.9,1.7,23.0,2905.0,0.6
2010,13,Ed Davis,https://www.basketball-reference.com/players/d/davised01.html,24.8,18.8,6.0,-0.6,43.3,0.151,0.4,25.2,18.1,106.0,13756.0,3.3
2010,14,Patrick Patterson,https://www.basketball-reference.com/players/p/pattepa01.html,15.0,10.6,7.4,0.1,31.9,0.102,-0.1,18.1,13.8,104.0,14923.0,1.6
